round,home,away,advantage0,score0,advantage1,score1,advantage2,score2,advantage3,score3,advantage4,score4,defense_home,defense_away,cheat,goals,players,result,score_final,link,comment
3,ATH,RSO,0,0:0,0.3,1:0,0.1,2:0,0,2:0,0.2,2:0,1,0,no,2,0,2,2:0,https://www.iqiyi.com/v_19rsokz6vw.html,no comment
3,BET,LEG,0,0:0,0,0:0,0.1,0:0,0,0:0,0.1,0:0,0,0,no,0,0,2,2:1,https://www,no comment
3,VAL,MLL,-0.4,0:0,0.3,0:0,0,0:0,-0.1,0:0,0,1:0,0,0,no,1,0,2,2:0,https://www,no comment
3,SEV,CEL,0.7,0:0,0.2,0:0,0.2,0:0,0.1,0:0,0.2,0:0,1,1,no,0,0,1,1:1,https://www.iqiyi.com/v_19rss9hmog.html,no comment
4,BET,GET,-0.3,0:0,-0.3,0:1,0,0:1,0.1,0:1,-0.3,0:1,-1,1,home,-1,-1,1,1:1,https://www.iqiyi.com/v_19ru7ip2z0.html,no comment
4,CEL,GRA,0.1,0:0,0,0:0,-0.1,0:0,-0.1,0:0,0,0:1,1,1,no,-1,-2,0,0:2,https://www.iqiyi.com/v_19ru6tlhng.html,no comment
4,LEG,VIL,0.4,0:0,-0.3,0:0,-0.5,0:1,-0.3,0:2,0.1,0:2,0,0,no,-2,0,0,0:3,https://www,no comment
4,VLL,OSA,0.1,0:0,-0.8,0:0,0,0:0,-0.4,0:0,0,0:0,-1,0,home,0,0,1,1:1,https://www.iqiyi.com/v_19ru6qrmsw.html,no comment
4,EIB,ESP,0.1,0:0,-0.1,0:0,0,0:0,0,0:0,0.1,0:0,0,0,no,0,0,0,1:2,https://www.iqiyi.com/v_19ru718myw.html,no comment
4,ALA,SEV,0,0:0,-0.4,0:0,-0.1,0:0,-0.2,0:1,0,0:1,0,1,no,-1,0,0,0:1,https://www.iqiyi.com/v_19ru6un88s.html,no comment
4,BAR,VAL,0.6,2:0,0.2,2:0,-0.3,2:1,0.1,2:1,0.2,2:1,0,-1,no,1,0,2,5:2,https://www.iqiyi.com/v_19ru6khqgg.html,no comment
4,RSO,ATM,0,0:0,0,0:0,0.3,0:0,0.3,0:0,0,0:0,0,1,no,0,0,2,2:0,https://www.iqiyi.com/v_19ru5mibjg.html,no comment
4,MLL,ATH,0.2,0:0,0,0:0,0,0:0,-0.1,0:0,0,0:0,1,0,no,0,0,1,0:0,https://www.iqiyi.com/v_19ru9o3nws.html,no comment
4,RMA,LEV,0.2,0:0,0,0:0,0.6,1:0,0.6,3:0,0,3:0,0,0,no,3,0,2,3:2,https://www.iqiyi.com/v_19ru5qswgo.html,no comment
5,ATM,CEL,0,0:0,0.1,0:0,0.3,0:0,0,0:0,0,0:0,1,1,no,0,0,1,0:0,https://www.iqiyi.com/v_19ru0ph8pg.html,no comment
5,VIL,VLL,0,0:0,-0.2,0:0,0,0:0,0.3,0:0,0,0:0,-1,-1,no,0,0,2,2:0,https://www.iqiyi.com/v_19ru0j80jg.html,no comment
5,VAL,LEG,0,0:0,0,0:0,0,1:0,-0.3,1:1,0.1,1:1,0,0,no,0,0,1,1:1,https://www.iqiyi.com/v_19rtwqnv9k.html,no comment
5,ESP,RSO,0,0:0,-0.3,0:1,-0.4,0:1,-0.2,0:2,-0.3,0:2,0,0,no,-2,0,0,1:3,https://www.iqiyi.com/v_19rtwrtv1c.html,no comment
5,OSA,BET,-0.3,0:0,0.1,0:0,-0.1,0:0,0,0:0,-0.1,0:0,0,0,no,0,0,1,0:0,https://www.iqiyi.com/v_19ru01eixk.html,no comment
5,GRA,BAR,0.3,1:0,0.1,1:0,0,1:0,0.1,1:0,0,1:0,1,0,away,1,0,2,2:0,https://www.iqiyi.com/v_19ru0nuvh4.html,no comment
5,GET,MLL,-0.3,1:0,0,1:0,0,1:0,0,2:0,0,2:0,1,-1,no,2,0,2,4:2,https://www.iqiyi.com/v_19rtwttd7w.html,no comment
5,LEV,EIB,0,0:0,0,0:0,-0.2,0:0,0,0:0,0.1,0:0,0,0,home,0,0,1,0:0,https://www.iqiyi.com/v_19ru0qoc8w.html,no comment
5,ATH,ALA,0,0:0,0,0:0,0,0:0,0,1:0,0,1:0,1,0,no,1,0,2,2:0,https://www.iqiyi.com/v_19rtxkfnt4.html,no comment
5,SEV,RMA,0,0:0,0,0:0,0,0:0,-0.4,0:0,0,0:0,1,0,no,0,0,0,0:1,https://www.iqiyi.com/v_19rtxjv6bw.html,no comment
6,BET,LEV,-0.3,0:1,0.4,0:1,0.3,0:1,0.2,0:1,0.4,1:1,0,-1,no,0,0,2,3:1,https://www.iqiyi.com/v_19rtygpofk.html,no comment
6,VAL,GET,-0.3,0:1,-0.1,0:1,0.1,1:1,0.6,3:1,0,3:1,0,0,no,2,0,1,3:3,https://www.iqiyi.com/v_19ru49zt7o.html,no comment
6,EIB,SEV,-0.1,0:0,-0.4,0:1,-0.3,0:1,-0.3,0:2,0,0:2,-1,1,home,-2,0,2,3:2,https://www.iqiyi.com/v_19ru4n4syo.html,no comment
6,BAR,VIL,0.1,1:0,0.3,2:0,0.1,2:0,0,2:0,-0.3,2:1,1,1,no,1,0,2,2:1,https://www.iqiyi.com/v_19rtyg7w1k.html,no comment
6,LEG,ATH,0.1,0:0,0,0:0,-0.1,0:0,0.1,0:0,0.4,0:0,0,0,no,0,0,1,1:1,https://www,no comment
6,MLL,ATM,-0.3,0:0,-0.1,0:0,-0.4,0:1,-0.3,0:1,-0.3,0:1,0,1,no,-1,0,0,0:2,https://www.iqiyi.com/v_19ru4bayf0.html,no comment
6,VLL,GLA,0,0:0,0.4,1:0,0,1:0,0,1:0,-0.3,1:1,0,-1,away,0,0,1,1:1,https://www,no comment
6,RMA,OSA,0,0:0,0.4,0:0,0,0:0,0.4,1:0,0.1,1:0,1,0,no,1,0,2,2:0,https://www.iqiyi.com/v_19ru4alxic.html,no comment
6,CEL,ESP,0,0:0,0.1,0:0,0.1,0:0,0.1,0:0,0.1,0:0,0,0,no,0,0,1,1:1,https://www,no comment
6,RSO,ALA,0,0:0,0.3,1:0,-0.1,1:0,0.3,1:0,0,3:0,0,-1,no,3,0,2,3:0,https://www.iqiyi.com/v_19ru4mif9c.html,no comment
7,GET,BAR,0.1,0:0,-0.3,0:0,0,0:0,0,0:0,-0.4,0:1,0,0,no,-1,0,0,0:2,https://www,no comment
7,ATM,RMA,0.1,0:0,-0.1,0:0,-0.2,0:0,-0.3,0:0,0.1,0:0,1,1,no,0,0,1,0:0,https://www,no comment
7,SEV,RSO,-0.3,0:1,0.3,1:1,0.2,1:1,0.2,1:1,0.2,1:1,0,0,home,0,0,2,3:2,https://www,no comment
7,VIL,BET,0,0:0,0.3,0:0,-0.1,0:0,0,1:0,0,1:0,0,0,no,1,0,2,5:1,https://www,no comment
7,LEV,OSA,0.3,1:0,0,1:0,0.2,1:0,0.2,1:0,0.4,1:0,1,0,no,1,0,1,1:1,https://www,no comment
7,GRA,LEG,0,0:0,0.1,0:0,-0.3,1:0,0,1:0,0.1,1:0,0,0,home,1,0,2,1:0,https://www.iqiyi.com/v_19ru22hyo8.html,GRA cheat
7,ESP,VLL,0.3,0:0,0.1,0:0,-0.3,0:1,-0.1,0:1,0.2,0:1,-1,0,no,-1,0,0,0:2,https://www.iqiyi.com/v_19ru2l9n30.html,no comment
7,EIB,CEL,0,0:0,0.1,0:0,0,0:0,-0.3,0:0,0,0:0,1,1,away,0,0,2,2:0,https://www.iqiyi.com/v_19ru28qj3s.html,no comment
7,ALA,MLL,-0.3,0:0,0,0:0,0,0:0,0,0:0,0,0:0,1,1,away,0,0,2,2:0,https://www.iqiyi.com/v_19ru27bco8.html,cheat confirmed by 45+ and 2nd half
7,ATH,VAL,-0.6,0:0,-0.1,0:0,-0.3,0:1,0.1,0:1,0.1,0:1,0,1,no,-1,0,0,0:1,https://www.iqiyi.com/v_19ru1wdgng.html,no comment
8,RSO,GET,0.3,1:0,0.2,1:0,0.1,1:0,0.1,1:0,0,1:0,1,-1,away,1,0,0,1:2,https://www.iqiyi.com/v_19rtof3pc4.html,GET cheat
8,BAR,SEV,0,0:0,-0.3,0:0,0,1:0,0.6,3:0,-0.1,3:0,0,0,no,3,0,2,4:0,https://www.iqiyi.com/v_19rtp8cx9c.html,no comment
8,VLL,ATM,0,0:0,0,0:0,0,0:0,0,0:0,0,0:0,1,1,no,0,0,1,0:0,https://www.iqiyi.com/v_19rtoh8hl0.html,no comment
8,CEL,ATH,0.1,0:0,0.1,0:0,0,0:0,0,0:0,0.1,0:0,1,1,no,0,0,2,1:0,https://www.iqiyi.com/v_19rtohbjwc.html,no comment
8,MLL,ESP,0,0:0,0,0:0,0,0:0,0.3,1:0,0,1:0,1,0,no,1,0,2,2:0,https://www.iqiyi.com/v_19rtojsroc.html,no comment
8,OSA,VIL,-0.1,0:1,-0.1,0:1,0,0:1,-0.1,0:1,0,0:1,0,0,home,-1,0,2,2:1,https://www.iqiyi.com/v_19rtnvk440.html,no comment
8,VAL,ALA,0,0:0,0,0:0,0.1,1:0,0,1:0,0,1:0,-1,0,home,1,0,2,2:1,https://www.iqiyi.com/v_19rtnw830g.html,no comment
8,RMA,GRA,0.3,1:0,0.3,1:0,0.3,1:0,0,1:0,0.4,2:0,1,0,no,2,0,2,4:2,https://www.iqiyi.com/v_19rtnyemyo.html,no comment
8,LEG,LEV,0,0:0,0.1,0:0,0.1,0:0,0.3,0:0,0.3,0:1,1,0,no,-1,0,0,1:2,https://www.iqiyi.com/v_19rtnpz1mk.html,no comment
8,BET,EIB,0.1,0:0,0,0:0,0.6,0:0,0,0:1,0.3,0:1,1,0,no,-1,0,1,1:1,https://www.iqiyi.com/v_19rtrsxsfw.html,no comment
9,ATH,VLL,0.3,0:0,0,0:0,0.3,0:0,0.3,1:0,0,1:0,1,0,away,1,0,1,1:1,https://www.iqiyi.com/v_19rvi2swf8.html,no comment
9,ESP,VIL,0.1,0:0,-0.2,0:1,0.1,0:1,0.3,0:1,0,0:1,0,0,no,-1,0,0,0:1,https://www.iqiyi.com/v_19rvi37ulw.html,no comment
9,RSO,BET,0.1,0:0,-0.2,0:1,0,1:1,0.5,2:1,0.4,2:1,0,-1,no,1,0,2,3:1,https://www.iqiyi.com/v_19rvi3930c.html,no comment
9,ALA,CEL,0,0:0,-0.1,0:0,-0.3,0:0,0.3,0:0,-0.1,0:0,0,0,away,0,0,2,2:0,https://www.iqiyi.com/v_19rvi4ir3c.html,no comment
9,MLL,RMA,0.2,1:0,0,1:0,-0.4,1:0,-0.1,1:0,0,1:0,0,0,away,1,0,2,1:0,https://www.iqiyi.com/v_19rvh9nh2g.html,no comment
9,GET,LEG,0,0:0,0,0:0,0.2,0:0,-0.1,0:0,0,0:0,0,0,no,0,0,2,2:0,https://www.iqiyi.com/v_19rvh9gkic.html,no comment
9,ATM,VAL,0,0:0,0.2,0:0,0.4,0:0,0.1,1:0,0,1:0,0,0,no,1,0,1,1:1,https://www.iqiyi.com/v_19rvh9vm5c.html,no comment
9,EIB,BAR,0,0:0,-0.1,0:1,0,0:1,-0.3,0:1,0,0:1,0,1,no,-1,0,0,0:3,https://www.iqiyi.com/v_19rvhbeyt0.html,no comment
9,GRA,OSA,0,0:0,-0.1,0:0,-0.4,0:0,0,1:0,0,1:0,1,0,no,1,0,2,1:0,https://www.iqiyi.com/v_19rvgsmuaw.html,no comment
9,SEV,LEV,-0.2,0:0,0.1,0:0,0.3,0:0,0.1,0:0,0.1,0:0,1,0,no,0,0,2,1:0,https://www.,no comment
10,OSA,VAL,0,0:0,0,0:1,0.1,0:1,0.5,1:1,0,1:1,0,0,away,0,1,2,3:1,https://www.iqiyi.com/v_19rvlef1qs.html,no comment
10,SEV,GET,0.1,0:0,0.1,0:0,-0.1,0:0,0.4,0:0,-0.1,0:0,1,0,no,0,0,2,2:0,https://www.iqiyi.com/v_19rvlf4aec.html,no comment
10,LEV,ESP,0,0:0,0.1,0:0,0,0:0,-0.3,0:1,0,0:1,0,0,home,-1,0,0,0:1,https://www.iqiyi.com/v_19rvlgkbog.html,no comment
10,GRA,BET,0.1,0:0,0,0:0,0,0:0,0.1,0:0,0,0:0,1,0,home,0,0,2,1:0,https://www.iqiyi.com/v_19rvkolz3c.html,no comment
10,CEL,RSO,-0.1,0:0,0,0:0,0,0:0,0,0:0,0.2,0:0,1,1,no,0,0,0,0:1,https://www.iqiyi.com/v_19rvkpxnjs.html,no comment
10,ATM,ATH,0,0:0,0,0:0,0.4,1:0,-0.1,1:0,0,1:0,1,1,no,1,0,2,2:0,https://www.iqiyi.com/v_19rvl212z0.html,no comment
10,VLL,EIB,0.3,1:0,0,1:0,-0.1,1:0,0.2,2:0,0,2:0,0,0,no,2,0,2,2:0,https://www.iqiyi.com/v_19rvl2id34.html,no comment
10,LEG,MLL,-0.1,0:0,0,0:0,0.1,0:0,0.3,1:0,0,1:0,1,0,no,1,0,2,1:0,https://www.iqiyi.com/v_19rvktulj8.html,no comment
10,VIL,ALA,0.1,0:0,0.7,1:0,0.1,1:0,0,1:0,0,1:0,1,-1,away,1,0,2,4:1,https://www.iqiyi.com/v_19rvg24zyc.html,no comment
